,smiles,anchors
0,<empty>,"[]"
1,H,"0"
2,c1ccccc1,"[0]"
3,c1ccccc1,"[0, 1]"
4,c1ccoc1,"[0, 1]"
5,c1ccoc1,"[1, 2]"
6,c1ccoc1,"[2]"
7,c1ccoc1,"[2, 1]"
8,c1ccoc1,"[2, 3]"
9,c1ccoc1,"[0]"
10,c1ccoc1,"[3, 2]"
11,CC,"[0]"
12,C=O,"[0]"
13,CN,"[0]"
14,CN,"[1]"
15,CF,"[0]"
16,C1CCNC1,"[0, 1]"
17,C1CCNC1,"[1, 2]"
18,C1CCNC1,"[2]"
19,C1CCNC1,"[2, 1]"
20,C1CCNC1,"[2, 3]"
21,C1CCNC1,"[0]"
22,C1CCNC1,"[3, 2]"
23,C1CCNC1,"[3]"
24,C#N,"[0]"
25,CO,"[0]"
26,CO,"[1]"
27,[CH]O,"[0]"
28,[CH]O,"[1]"
29,[CH]C,"[0]"
30,[CH]C,"[1]"
31,[CH]1C=NC=CC1,"[0, 1]"
32,[CH]1C=NC=CC1,"[1, 2]"
33,[CH]1C=NC=CC1,"[2, 1]"
34,[CH]1C=NC=CC1,"[3, 4]"
35,[CH]1C=NC=CC1,"[5]"
36,[CH]1C=NC=CC1,"[4, 3]"
37,[CH]1C=NC=CC1,"[5, 4]"
38,[CH]1C=NC=CC1,"[4]"
39,[CH]1C=NC=CC1,"[2, 3]"
40,[CH]1C=NC=CC1,"[1]"
41,[CH]1C=NC=CC1,"[1, 0]"
42,[CH]1C=NC=CC1,"[4, 5]"
43,[CH]1C=NC=CC1,"[5, 0]"
44,[CH]1C=NC=CC1,"[0, 5]"
45,[CH]1C=NC=CC1,"[0]"
46,[CH]1C=NC=CC1,"[3, 2]"
47,[CH]1C=NC=CC1,"[3]"
48,C1CCCCC1,"[0]"
49,C1CCCCC1,"[0, 1]"
50,CS,"[0]"
51,CS,"[1]"
52,CCl,"[0]"
53,C[O-],"[0]"
54,C[O-],"[1]"
55,c1ccsc1,"[0, 1]"
56,c1ccsc1,"[1, 2]"
57,c1ccsc1,"[2]"
58,c1ccsc1,"[2, 1]"
59,c1ccsc1,"[2, 3]"
60,c1ccsc1,"[0]"
61,c1ccsc1,"[3, 2]"
62,c1ccsc1,"[3]"
63,C[NH+],"[0]"
64,C[NH+],"[1]"
65,[C][NH+],"[0]"
66,[C][NH+],"[1]"
67,[C]C,"[0]"
68,[C]C,"[1]"
69,[C][CH],"[0]"
70,[C][CH],"[1]"
71,CBr,"[0]"
72,[CH]N,"[0]"
73,[CH]N,"[1]"
74,C=N,"[0]"
75,C=N,"[1]"
76,NO,"[0]"
77,NO,"[1]"
78,c1nc[nH]n1,"[0, 1]"
79,c1nc[nH]n1,"[1, 2]"
80,c1nc[nH]n1,"[2]"
81,c1nc[nH]n1,"[2, 1]"
82,c1nc[nH]n1,"[3, 4]"
83,c1nc[nH]n1,"[4, 3]"
84,c1nc[nH]n1,"[4, 0]"
85,c1nc[nH]n1,"[0, 4]"
86,c1nc[nH]n1,"[2, 3]"
87,c1nc[nH]n1,"[1, 0]"
88,c1nc[nH]n1,"[0]"
89,c1nc[nH]n1,"[3, 2]"
90,c1ccncc1,"[0, 1]"
91,c1ccncc1,"[2]"
92,c1ccncc1,"[1, 2]"
93,c1ccncc1,"[2, 1]"
94,c1ccncc1,"[2, 3]"
95,c1ccncc1,"[1]"
96,c1ccncc1,"[1, 0]"
97,c1ccncc1,"[0]"
98,c1ccncc1,"[3, 2]"
99,[CH]1C=CNC=C1,"[0, 1]"
100,[CH]1C=CNC=C1,"[2]"
101,[CH]1C=CNC=C1,"[1, 2]"
102,[CH]1C=CNC=C1,"[2, 1]"
103,[CH]1C=CNC=C1,"[2, 3]"
104,[CH]1C=CNC=C1,"[1]"
105,[CH]1C=CNC=C1,"[1, 0]"
106,[CH]1C=CNC=C1,"[0]"
107,[CH]1C=CNC=C1,"[3, 2]"
108,[CH]1C=CNC=C1,"[3]"
109,C1=CCCCC1,"[0, 1]"
110,C1=CCCCC1,"[1, 2]"
111,C1=CCCCC1,"[2]"
112,C1=CCCCC1,"[2, 1]"
113,C1=CCCCC1,"[3, 4]"
114,C1=CCCCC1,"[2, 3]"
115,C1=CCCCC1,"[0]"
116,C1=CCCCC1,"[3, 2]"
117,C1=CCCCC1,"[3]"
118,c1cncnc1,"[0, 1]"
119,c1cncnc1,"[1, 2]"
120,c1cncnc1,"[2, 1]"
121,c1cncnc1,"[2, 3]"
122,c1cncnc1,"[1]"
123,c1cncnc1,"[1, 0]"
124,c1cncnc1,"[0]"
125,c1cncnc1,"[3, 2]"
126,c1cncnc1,"[3]"
127,[CH]S,"[0]"
128,[CH]S,"[1]"
129,C1=CCNCC1,"[0, 1]"
130,C1=CCNCC1,"[2]"
131,C1=CCNCC1,"[1, 2]"
132,C1=CCNCC1,"[2, 1]"
133,C1=CCNCC1,"[3, 4]"
134,C1=CCNCC1,"[5]"
135,C1=CCNCC1,"[4, 3]"
136,C1=CCNCC1,"[5, 4]"
137,C1=CCNCC1,"[4]"
138,C1=CCNCC1,"[2, 3]"
139,C1=CCNCC1,"[1]"
140,C1=CCNCC1,"[1, 0]"
141,C1=CCNCC1,"[4, 5]"
142,C1=CCNCC1,"[5, 0]"
143,C1=CCNCC1,"[0, 5]"
144,C1=CCNCC1,"[0]"
145,C1=CCNCC1,"[3, 2]"
146,C1=CCNCC1,"[3]"
147,C1=CCCC1,"[0, 1]"
148,C1=CCCC1,"[1, 2]"
149,C1=CCCC1,"[2]"
150,C1=CCCC1,"[2, 1]"
151,C1=CCCC1,"[2, 3]"
152,C1=CCCC1,"[0]"
153,C1=CCCC1,"[3, 2]"
154,C1=CCCC1,"[3]"
155,C1CCNCC1,"[0, 1]"
156,C1CCNCC1,"[2]"
157,C1CCNCC1,"[1, 2]"
158,C1CCNCC1,"[2, 1]"
159,C1CCNCC1,"[2, 3]"
160,C1CCNCC1,"[1]"
161,C1CCNCC1,"[1, 0]"
162,C1CCNCC1,"[0]"
163,C1CCNCC1,"[3, 2]"
164,C1CCNCC1,"[3]"
165,[CH]1CCNC1,"[0, 1]"
166,[CH]1CCNC1,"[2]"
167,[CH]1CCNC1,"[1, 2]"
168,[CH]1CCNC1,"[2, 1]"
169,[CH]1CCNC1,"[3, 4]"
170,[CH]1CCNC1,"[4, 3]"
171,[CH]1CCNC1,"[4, 0]"
172,[CH]1CCNC1,"[0, 4]"
173,[CH]1CCNC1,"[4]"
174,[CH]1CCNC1,"[2, 3]"
175,[CH]1CCNC1,"[1]"
176,[CH]1CCNC1,"[1, 0]"
177,[CH]1CCNC1,"[0]"
178,[CH]1CCNC1,"[3, 2]"
179,[CH]1CCNC1,"[3]"
180,[CH]1CCCO1,"[0, 1]"
181,[CH]1CCCO1,"[2]"
182,[CH]1CCCO1,"[1, 2]"
183,[CH]1CCCO1,"[2, 1]"
184,[CH]1CCCO1,"[3, 4]"
185,[CH]1CCCO1,"[4, 3]"
186,[CH]1CCCO1,"[4, 0]"
187,[CH]1CCCO1,"[0, 4]"
188,[CH]1CCCO1,"[2, 3]"
189,[CH]1CCCO1,"[1]"
190,[CH]1CCCO1,"[1, 0]"
191,[CH]1CCCO1,"[0]"
192,[CH]1CCCO1,"[3, 2]"
193,[CH]1CCCO1,"[3]"
194,C1COCCN1,"[0, 1]"
195,C1COCCN1,"[1, 2]"
196,C1COCCN1,"[2, 1]"
197,C1COCCN1,"[5]"
198,C1COCCN1,"[5, 4]"
199,C1COCCN1,"[1]"
200,C1COCCN1,"[1, 0]"
201,C1COCCN1,"[4, 5]"
202,C1COCCN1,"[0]"
203,C=S,"[0]"
204,C=S,"[1]"
205,[CH][NH2+],"[0]"
206,c1cscn1,"[0, 1]"
207,c1cscn1,"[2]"
208,c1cscn1,"[1, 2]"
209,c1cscn1,"[2, 1]"
210,c1cscn1,"[3, 4]"
211,c1cscn1,"[4, 3]"
212,c1cscn1,"[4, 0]"
213,c1cscn1,"[0, 4]"
214,c1cscn1,"[2, 3]"
215,c1cscn1,"[1]"
216,c1cscn1,"[1, 0]"
217,c1cscn1,"[0]"
218,c1cscn1,"[3, 2]"
219,c1cscn1,"[3]"
220,[CH]1[CH]CNC1,"[0, 1]"
221,[CH]1[CH]CNC1,"[1, 2]"
222,[CH]1[CH]CNC1,"[2]"
223,[CH]1[CH]CNC1,"[2, 1]"
224,[CH]1[CH]CNC1,"[2, 3]"
225,[CH]1[CH]CNC1,"[0]"
226,[CH]1[CH]CNC1,"[3, 2]"
227,[CH]1[CH]CNC1,"[3]"
228,[CH]1[CH]CC=CC1,"[0, 1]"
229,[CH]1[CH]CC=CC1,"[1, 2]"
230,[CH]1[CH]CC=CC1,"[2]"
231,[CH]1[CH]CC=CC1,"[2, 1]"
232,[CH]1[CH]CC=CC1,"[3, 4]"
233,[CH]1[CH]CC=CC1,"[2, 3]"
234,[CH]1[CH]CC=CC1,"[0]"
235,[CH]1[CH]CC=CC1,"[3, 2]"
236,[CH]1[CH]CC=CC1,"[3]"
237,NS,"[0]"
238,NS,"[1]"
239,O=S,"[1]"
240,C1CNCCN1,"[0, 1]"
241,C1CNCCN1,"[1, 2]"
242,C1CNCCN1,"[2]"
243,C1CNCCN1,"[2, 1]"
244,C1CNCCN1,"[0]"
245,C1CC1,"[0]"
246,C1CC1,"[0, 1]"
247,[C]1[CH]C1,"[0, 1]"
248,[C]1[CH]C1,"[2]"
249,[C]1[CH]C1,"[1, 2]"
250,[C]1[CH]C1,"[2, 1]"
251,[C]1[CH]C1,"[2, 0]"
252,[C]1[CH]C1,"[1]"
253,[C]1[CH]C1,"[1, 0]"
254,[C]1[CH]C1,"[0, 2]"
255,[C]1[CH]C1,"[0]"
256,[C]1C=CCC1,"[0, 1]"
257,[C]1C=CCC1,"[2]"
258,[C]1C=CCC1,"[1, 2]"
259,[C]1C=CCC1,"[2, 1]"
260,[C]1C=CCC1,"[3, 4]"
261,[C]1C=CCC1,"[4, 3]"
262,[C]1C=CCC1,"[4, 0]"
263,[C]1C=CCC1,"[0, 4]"
264,[C]1C=CCC1,"[4]"
265,[C]1C=CCC1,"[2, 3]"
266,[C]1C=CCC1,"[1]"
267,[C]1C=CCC1,"[1, 0]"
268,[C]1C=CCC1,"[0]"
269,[C]1C=CCC1,"[3, 2]"
270,[C]1C=CCC1,"[3]"
271,[CH]1[CH]OCC1,"[0, 1]"
272,[CH]1[CH]OCC1,"[1, 2]"
273,[CH]1[CH]OCC1,"[4, 0]"
274,[CH]1[CH]OCC1,"[2, 1]"
275,[CH]1[CH]OCC1,"[3, 4]"
276,[CH]1[CH]OCC1,"[4, 3]"
277,[CH]1[CH]OCC1,"[0, 4]"
278,[CH]1[CH]OCC1,"[4]"
279,[CH]1[CH]OCC1,"[2, 3]"
280,[CH]1[CH]OCC1,"[1]"
281,[CH]1[CH]OCC1,"[1, 0]"
282,[CH]1[CH]OCC1,"[0]"
283,[CH]1[CH]OCC1,"[3, 2]"
284,[CH]1[CH]OCC1,"[3]"
285,C=C,"[0]"
286,C1=CN=NC1,"[0, 1]"
287,C1=CN=NC1,"[1, 2]"
288,C1=CN=NC1,"[4, 0]"
289,C1=CN=NC1,"[2, 1]"
290,C1=CN=NC1,"[3, 4]"
291,C1=CN=NC1,"[4, 3]"
292,C1=CN=NC1,"[0, 4]"
293,C1=CN=NC1,"[4]"
294,C1=CN=NC1,"[2, 3]"
295,C1=CN=NC1,"[1]"
296,C1=CN=NC1,"[1, 0]"
297,C1=CN=NC1,"[0]"
298,C1=CN=NC1,"[3, 2]"
299,C1=CNNC1,"[0, 1]"
300,C1=CNNC1,"[2]"
301,C1=CNNC1,"[1, 2]"
302,C1=CNNC1,"[2, 1]"
303,C1=CNNC1,"[3, 4]"
304,C1=CNNC1,"[4, 3]"
305,C1=CNNC1,"[4, 0]"
306,C1=CNNC1,"[0, 4]"
307,C1=CNNC1,"[4]"
308,C1=CNNC1,"[2, 3]"
309,C1=CNNC1,"[1]"
310,C1=CNNC1,"[1, 0]"
311,C1=CNNC1,"[0]"
312,C1=CNNC1,"[3, 2]"
313,C1=CNNC1,"[3]"
314,c1ccnnc1,"[0, 1]"
315,c1ccnnc1,"[1, 2]"
316,c1ccnnc1,"[2]"
317,c1ccnnc1,"[2, 1]"
318,c1ccnnc1,"[3, 4]"
319,c1ccnnc1,"[2, 3]"
320,c1ccnnc1,"[0]"
321,c1ccnnc1,"[3, 2]"
322,[CH][NH+],"[0]"
323,[CH][NH+],"[1]"
324,[CH]1CCOC1,"[0, 1]"
325,[CH]1CCOC1,"[2]"
326,[CH]1CCOC1,"[1, 2]"
327,[CH]1CCOC1,"[2, 1]"
328,[CH]1CCOC1,"[3, 4]"
329,[CH]1CCOC1,"[4, 3]"
330,[CH]1CCOC1,"[4, 0]"
331,[CH]1CCOC1,"[0, 4]"
332,[CH]1CCOC1,"[4]"
333,[CH]1CCOC1,"[2, 3]"
334,[CH]1CCOC1,"[1]"
335,[CH]1CCOC1,"[1, 0]"
336,[CH]1CCOC1,"[0]"
337,[CH]1CCOC1,"[3, 2]"
338,C1CCC1,"[0]"
339,C1CCC1,"[0, 1]"
340,[CH]1[CH]COC1,"[0, 1]"
341,[CH]1[CH]COC1,"[1, 2]"
342,[CH]1[CH]COC1,"[2]"
343,[CH]1[CH]COC1,"[2, 1]"
344,[CH]1[CH]COC1,"[2, 3]"
345,[CH]1[CH]COC1,"[0]"
346,[CH]1[CH]COC1,"[3, 2]"
347,C[NH2+],"[0]"
348,[CH]1CCCCN1,"[0, 1]"
349,[CH]1CCCCN1,"[2]"
350,[CH]1CCCCN1,"[1, 2]"
351,[CH]1CCCCN1,"[2, 1]"
352,[CH]1CCCCN1,"[3, 4]"
353,[CH]1CCCCN1,"[5]"
354,[CH]1CCCCN1,"[4, 3]"
355,[CH]1CCCCN1,"[5, 4]"
356,[CH]1CCCCN1,"[4]"
357,[CH]1CCCCN1,"[2, 3]"
358,[CH]1CCCCN1,"[1]"
359,[CH]1CCCCN1,"[1, 0]"
360,[CH]1CCCCN1,"[4, 5]"
361,[CH]1CCCCN1,"[5, 0]"
362,[CH]1CCCCN1,"[0, 5]"
363,[CH]1CCCCN1,"[0]"
364,[CH]1CCCCN1,"[3, 2]"
365,[CH]1CCCCN1,"[3]"
366,[N+]=O,"[0]"
367,[N+][O-],"[0]"
368,[N+][O-],"[1]"
369,C[N+],"[0]"
370,C[N+],"[1]"
371,[CH]1C=CCC1,"[0, 1]"
372,[CH]1C=CCC1,"[2]"
373,[CH]1C=CCC1,"[1, 2]"
374,[CH]1C=CCC1,"[2, 1]"
375,[CH]1C=CCC1,"[3, 4]"
376,[CH]1C=CCC1,"[4, 3]"
377,[CH]1C=CCC1,"[4, 0]"
378,[CH]1C=CCC1,"[0, 4]"
379,[CH]1C=CCC1,"[4]"
380,[CH]1C=CCC1,"[2, 3]"
381,[CH]1C=CCC1,"[1]"
382,[CH]1C=CCC1,"[1, 0]"
