,canon_smiles,anchors,canon_anchors,local_to_canon
0,H,[0],[0],{0: 0}
1,c1ccccc1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
2,c1ccoc1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2]]","{3: 3, 4: 2, 0: 0, 1: 0, 2: 2}"
3,CC,"[[0], [1]]",[[0]],"{0: 0, 1: 0}"
4,C=O,[[0]],[[0]],"{0: 0, 1: 1}"
5,CN,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
6,CF,[[0]],[[0]],"{0: 0, 1: 1}"
7,C1CCNC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 0: 0, 1: 0}"
8,C#N,[[0]],[[0]],"{1: 1, 0: 0}"
9,CO,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
10,[CH]O,"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
11,[CH]C,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
